company,title,description
Dolby Laboratories,Data Analyst Intern (Summer 2025),"Join the leader in collaborative licensing and help us advance inclusive and efficient new patent licensing approaches. Via Licensing Alliance is dedicated to accelerating global technology adoption, fostering participation, and generating return on innovation with balanced licensing solutions for innovators and manufacturers of all sizes around the globe. Via LA has operated dozens of licensing programs for a variety of technologies consisting of nearly 50,000 patents in over 130 countries with more than 500 patent holders and nearly 10,000 licensees. Via LA is an independently managed company owned by industry-leading participants with over 25 years of intellectual property licensing leadership. 

Via LA’s expertise extends to intellectual property, technology standardization, strategic business development, and program administration. Affiliated specialists in the fields of finance, antitrust law, and patent analysis complete the set of capabilities that make Via LA a premier solutions provider to the world’s most sophisticated technology and entertainment companies. For any student seeking to gain invaluable expertise through meaningful, personal contributions, we invite you to join us in continuing to design a future where technology meets entertainment!

Responsibilities

The Data Analyst Intern will support the sales team with a variety of data-focused projects, including: 

Conduct market research and analyze product offerings, sales regions, and shipment trends using both internal and external sources, including 10-K filings from target companies. 
Enter, clean, compile, and analyze diverse data points related to licensing pipelines. 
Assisting in the preparation of monthly business reports, including key metrics and actionable insights. 
Collaborate with cross-functional teams to ensure data accuracy and provide analytical support for strategic decision making. 

 

Qualifications 

Strong analytical and problem-solving skills with data driven mindset and attention to detail. 
Ability to work effectively in a fast-paced environment and manage multiple tasks. 
Eagerness to learn about technology licensing and quickly grasp new industry concepts. 
Strong written and verbal communication skills to present findings and collaborate across teams. 
Advanced knowledge of Microsoft Excel, including pivot tables and complex functions. 
Experience with large databases and familiarity with Salesforce is preferred. 
Exposure to data visualization tools (e.g., Tableau, Power BI) is a plus. 

 

We recognize that applying to internships can be a daunting process. Even if you do not have previous professional experience to meet the listed qualifications, we will consider relevant project, volunteer, and extracurricular experiences, and we encourage you to include them on your resume and apply. 

 

ELIGIBILITY 

Working towards an undergrad degree or MBA with emphasis in Data Science, Business Analytics, Finance, or a related field; recent grads who are within 6 months of graduation are also eligible to apply. Must be available to work full-time Monday–Friday for 6 months starting from May/June 2025. 

Start date for the internship is as follows: (*note* this date is not flexible) 

Monday, May 19, 2025 
Monday, June 2, 2025 
Monday, June 16, 2025 

The San Francisco/Bay Area base hourly range for this internship position is $32-$44/hr and can vary if outside of this location. Our hourly ranges are determined by role, level, and location. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific hourly range and perks and benefits for your location during the hiring process.

Dolby will consider qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco Police Code, Article 49, and Administrative Code, Article 12

Equal Employment Opportunity:

Dolby is proud to be an equal opportunity employer. Our success depends on the combined skills and talents of all our employees. We are committed to making employment decisions without regard to race, religious creed, color, age, sex, sexual orientation, gender identity, national origin, religion, marital status, family status, medical condition, disability, military service, pregnancy, childbirth and related medical conditions or any other classification protected by federal, state, and local laws and ordinances.

]]>"
Heart & Sail Tours,Virtual Booking Assistant -Work From Home,"This is a remote position.

Are you someone who thrives on delivering top-notch customer service and has a knack for the finer details? Dive into an exhilarating business opportunity that lets you harness the power of our host agency and make waves in the travel industry as a Booking Assistant. Your mission: to craft unforgettable accommodation experiences and seamlessly manage room reservations, all while carving out your own business path.

Responsibilities:

Orchestrate Stays: Command the art of hotel reservations, swiftly handling inquiries, bookings, and availability confirmations 
Guest Whisperer: Engage with guests across phone, email, and other mediums to resolve inquiries, modifications, and cancellations 
Check-In Magician: Ensure a spellbinding check-in and check-out process, catering to special requests and resolving concerns with a touch of magic 
Transaction Maestro: Collect payment details, process reservations, and dispatch invoices or receipts with precision 

This remote role allows you to operate from anywhere with an internet connection, giving you the freedom to balance work with personal adventures while delivering unparalleled travel experiences and growing your business.

Why Choose This Opportunity:

Flexible Wonderland: Shape your work schedule to fit your lifestyle, whether you're a night owl or an early bird 
Entrepreneurial Utopia: Seize control of your financial destiny within our supportive framework, unlocking vast opportunities for career growth 
Generous Bounty: Earn attractive travel commissions with each successful booking 
Masterful Training: Immerse yourself in extensive training and continuous development to stay ahead of the curve 
Supportive Tribe: Join a vibrant community of fellow travel enthusiasts, receiving mentorship and guidance as you navigate your entrepreneurial journey 

Qualifications:

Stellar communication and interpersonal skills with a welcoming and professional demeanor 
Extraordinary organizational and multitasking prowess 
Eagle-eyed attention to detail and accuracy 
Autonomous and collaborative work style 
Thorough understanding of travel destinations, attractions, and services 
Exceptional customer service and problem-solving abilities 
Boundless passion for travel and creating unforgettable experiences 
18 years or older 
Fluent in English; bilingual abilities are a fantastic bonus 

Benefits:

Remote Freedom: Enjoy a flexible work environment from any location 
Travel Perks: Access tantalizing travel discounts for both personal and professional journeys 
Comprehensive Support: Benefit from free training, familiarization trips, and a supportive team 

Embark on an entrepreneurial journey that blends your love for travel with professional growth. This entry-level position is your passport to transforming travelers' lives while exploring the world one exceptional experience at a time. Begin your adventure in the travel industry today and discover the freedom and potential that comes with it."
Pegasus Airlines,Business Development Specialist / Associate,"Pegasus Airlines

Pegasus Airlines is recognized globally as a leader in innovation, digital advancement, and profitability, consistently demonstrating exceptional growth. As a customer-focused airline, we utilize cutting-edge technologies and innovative solutions to enhance air travel experiences and redefine industry standards.

Pegasus Airlines Innovation Lab

Pegasus Innovation Lab was established in Silicon Valley by Pegasus Airlines in 2023 to take our ""Digital Airline"" promise to the next level by breaking the mold of ""traditional"" practices and driving innovation using cutting-edge technologies. Pegasus Innovation Lab is dedicated to driving value at every stage of our journey. Leading technological advancement, we are committed to scouting, adopting, and implementing cutting-edge technologies. By doing so, we ensure that Pegasus Airlines is a leading low-cost airline across the industry, continuously pushing the boundaries and setting new standards of excellence.

Position Overview

In the role of Business Development Specialist / Associate at Pegasus Airlines, you will champion transformative initiatives aimed at fostering innovation, expanding markets, and driving business growth. Reporting to the Business Development Manager of the Pegasus Innovation Lab, your responsibilities will include establishing strategic partnerships, managing innovation processes, and promoting global business development initiatives. Your contributions will be crucial to enhancing Pegasus Airlines’ competitive advantage and operational efficiency through the integration of technology and innovative solutions.

Key Responsibilities

Business Development and Partnership Building:
Manage administrative and coordination tasks related to pursuing new technology business opportunities, including scheduling meetings, preparing documentation, and collaborating with internal teams.
Facilitate initial meetings with external partners and related technology personnel from Pegasus HQ.
Assist in progressing business development stages, such as signing NDAs, PoCs, technology adoption, and project initiation.
Help identify and prioritize innovative opportunities within the aviation sector, encompassing new technologies, business models, and enhancements to customer experience.
Perform market research to track industry trends to support the Business Development Manager.
Assist in preparing business impact analyses for potential technology solutions, evaluating effects on company KPIs, operational performance metrics, and ROI statements in collaboration with financial and business representatives.
Participate in university collaborations, lead hackathons, and organize related events.
Technology Scouting and Alignment with Pegasus’ Needs:
Support the identification of Pegasus’ technological requirements and explore potential collaborations with startups, tech companies, and other entities to integrate innovative solutions into airline operations.
Extract beneficial products, solutions, or foundational technologies from the ecosystem (hubs/accelerators, airline-related networks/community, large tech vendors, etc.).
Staying Updated on Technological Advances:
Monitor and report on the roadmaps and releases of major tech companies (such as Apple, Google, Microsoft, Amazon) and developments in emerging technologies (AI, satellite connectivity, robotics, etc.) as they relate to other airlines' focus areas.
Attending tech events and supporting organizing tech events such as demo days, hackathons etc.
Tracking/Reporting/Communicating Progress & Success:
Report on the advancements and successes of the Innovation Lab in terms of engaged parties, integration within the Silicon Valley ecosystem, number of partnerships, PoCs, and fulfillment of technological needs.
Communicate successful partnerships and collaborative efforts alongside communication teams at Pegasus HQ.

Qualifications

 Bachelor’s degree in computer science or a related field, with a minimum of 2 years of experience preferred.
 Strong organizational and planning abilities, with the capacity to manage multiple projects and shifting priorities.
 Proficient in Microsoft Word, Excel, PowerPoint, and Outlook.
 Outstanding verbal and written communication skills.
 Ability to work effectively in a fast-paced environment with minimal supervision.
 Capability to navigate across multiple time zones and manage priorities efficiently. The ideal candidate is resourceful, motivated, responsive, and thrives in an unstructured setting.
 Familiarity with technology trends, particularly in AI, and awareness of strategies employed by large tech firms.

Benefits

Competitive salary and a comprehensive benefits package.
Opportunity to spearhead transformative changes within a globally recognized airline.
A dynamic work environment that promotes innovation, creativity, and professional advancement.

Location: San Francisco Bay Area, California / USA

Pegasus Innovation Lab will not provide visa sponsorship.

Application: If you are passionate about driving growth and transformation within the airline technology business and meet the qualifications detailed above, we encourage you to apply for the Business Development Specialist / Associate position at Pegasus Airlines Innovation Lab. Please submit your resume and cover letter outlining your relevant experiences and achievements."
Tesla,"Internship, Security Engineer, Applications Engineering (Summer 2025)","What To Expect
Consider before submitting an application:

This position is expected to start around May 2025 and continue through the Summer term (approximately August 2025) or into Fall 2025 if available and there is an opportunity to do so. We ask for a minimum of 12 weeks, full-time and on-site, for most internships. Our internship program is for students who are actively enrolled in an academic program. Recent graduates seeking employment after graduation and not returning to school should apply for full-time positions, not internships.

International Students: If your work authorization is through CPT, please consult your school on your ability to work 40 hours per week before applying. You must be able to work 40 hours per week on-site. Many students will be limited to part-time during the academic year.

Internship Programs at Tesla

The Internship Recruiting Team is driven by the passion to recognize emerging talent. Our year-round program places the best students in positions that they will grow both technically and personally through their experience working closely with their Manager, Mentor, and team. We are dedicated to providing an experience that allows for the intern to experience life at Tesla by giving them ownership over projects that are critical to their team’s success.

Locations: Austin, TX; Bellevue, WA; Fremont, CA; Palo Alto, CA

What You'll Do
Your application for the Security Engineering Internship will be considered across all opportunities for the teams listed below:

Security Intelligence
The Security Intelligence team is tasked with protecting Tesla's intellectual property and trade secrets from insider threats. The Technical Investigators build new tools and detection alerts, provide investigative and digital forensic support, and support Legal in ongoing litigation and eDsicovery collections


Threat Research Team
With the goal of developing and implementing proactive defensive measures, this group will primarily be identifying and tracking external threats that are targeting Tesla and the broader industry, collecting, and analyzing threat information and attacker tools, and conducting technical deep-dive investigations into notable attacks.


Security Engineering
The Security Engineering team is responsible for the configuration, management, and deployment of enterprise security systems at Tesla. This includes securing a complex mix of manufacturing, retail, and corporate facilities that provide a variety of physical and technical challenges. To ensure our applications are secure, the team also works closely with development teams across Platform Engineering.


What You'll Bring

Currently pursuing a degree in Computer Science, Information Technology, Cybersecurity, Information Security, or a related field of study and graduating between 2025-2026
Proficiency in one or more of the following developer skills: Python, Go, Java, Ruby, C/C++ or other common industry languages
Working knowledge with the following tools and systems: SIEM, SQL, Splunk
Eagerness to collaborate cross-functionally with other engineering teams while able to work independently; detail-oriented and execution focused
Genuine curiosity and willingness to understand how our products are designed, built and how they operate
Nice to haves include: Experience with manual analysis of malware, phishing kits, network captures, exploits. Experience in web application security. Experience with penetration testing


Benefits
Compensation and Benefits
As a full-time Tesla Intern, you will be eligible for:
 Aetna PPO and HSA plans > 2 medical plan options with $0 payroll deduction
 Family-building, fertility, adoption and surrogacy benefits
 Dental (including orthodontic coverage) and vision plans. Both have an option with a $0 payroll contribution
 Company Paid (Health Savings Account) HSA Contribution when enrolled in the High Deductible Medical Plan with HSA
 Healthcare and Dependent Care Flexible Spending Accounts (FSA)
 401(k), Employee Stock Purchase Plans, and other financial benefits
 Company Paid Basic Life, AD&D, and short-term disability insurance
 Employee Assistance Program
 Sick time after 90 days of employment and Paid Holidays
 Back-up childcare and parenting support resources
 Voluntary benefits to include: critical illness, hospital indemnity, accident insurance, theft & legal services, and pet insurance
 Commuter benefits
 Employee discounts and perks program


Expected Compensation

$26.44 - $50.48/hour + benefits

Pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other elements dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment.

, Tesla"
VXI Global Solutions,Software Engineer- New Grad [For Fall 2024 Event Attendees],"About The Role

Please apply ONLY if you have attended any Chime sponsored school/university event.*

Chime is looking for an engineering new college graduate to join our various engineering teams. You will gain valuable professional experience working with cutting edge cloud technology and distributed systems alongside engineers with a wealth of experience to share. This is an exciting opportunity to learn while playing a role in a critical initiative at Chime.

In this role, you can expect to

Assist with the design, development, testing, and deployment of platform features.
Learn and execute on agile methodologies, follow a test-driven development approach.
Work with a cross-functional team and understand how software is developed and maintained at scale.

To thrive in this role, you have

Experience in backend languages such as Java and Python.
An understanding of standard software design patterns and best practices.
A passion for learning and applying technology to solve real-world problems.
Experience with AWS or other cloud platforms, Cloud Native technology, No-SQL Data-bases as a bonus!

A Little About Us

At Chime, we believe that everyone can achieve financial progress. We're passionate about developing solutions and services to empower people to succeed. Every day, we start with empathy for our members and stay motivated by our desire to support them in ways that make a meaningful difference.

We created Chime-a financial technology company, not a bank*-- founded on the premise that basic banking services should be helpful, transparent, and fair. Chime helps unlock the access and ability our members need to overcome the systemic barriers that block them from moving forward. By providing members with access to liquidity, rewards, and credit building, our easy-to-use tools and intuitive platforms give members the ability to have more control over their money and to take action toward achieving their financial ambitions.

So far, we're well-loved by our members and proud to have helped millions of people unlock financial progress, whether they started a savings account, bought their first car or home, opened a business, or went to college. Every day, we're inspired by our members' dreams and successes, big and small.

We're uniting everyday people to unlock their financial progress-will you join us?

Chime partners with The Bancorp Bank and Stride Bank, N.A., Members FDIC, that power the bank accounts used by Chime Members.

What We Offer

 A thoughtful hybrid work policy that combines in-office days and trips to team and company-wide events depending on location to ensure you stay connected to your work and teammates, whether you're local to one of our offices or remote
 Hybrid work perks, like UrbanSitter and Kinside for backup child, elder and/or pet care, as well as a subsidized commuter benefit
 Competitive salary based on experience
401k match plus great medical, dental, vision, life, and disability benefits
 Generous vacation policy and company-wide Take Care of Yourself Days 
 1% of your time off to support local community organizations of your choice
 Mental health support with therapy and coaching through Modern Health
 16 weeks of paid parental leave for all parents and an additional 6-8 weeks for birthing parents
 Access to Maven, a family planning tool, with up to $10k in reimbursement for egg freezing, fertility treatments, adoption, and more.
 In-person and virtual events to connect with your fellow Chimers-think cooking classes, guided meditations, music festivals, mixology classes, paint nights, etc., and delicious snack boxes, too!
♥ A challenging and fulfilling opportunity to join one of the most experienced teams in FinTech and help millions unlock financial progress

We know that great work can't be done without a diverse team and inclusive environment. That's why we specifically look for individuals of varying strengths, skills, backgrounds, and ideas to join our team. We believe this gives us a competitive advantage to better serve our members and helps us all grow as Chimers and individuals.

We hire candidates of any race, color, ancestry, religion, sex, national origin, sexual orientation, gender identity, age, marital or family status, disability, Veteran status, and any other status. Chime is proud to be an Equal Opportunity Employer and will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance, Cook County Ordinance, and consistent with Canadian provincial and federal laws. If you have a disability or special need that requires accommodation, please let us know. To learn more about how Chime collects and uses your personal information during the application process, please see the Chime Applicant Privacy Notice."
"KBR, Inc.",Entry-Level Software Engineer,"Title

Entry-Level Software Engineer

Belong. Connect. Grow. with KBR! 

Around here, we define the future.

We are a company of innovators, thinkers, creators, explorers, volunteers, and dreamers. But we all share one goal: to improve the world responsibly and safely.

KBR is looking for an entry-level software engineer for our Mission Systems Operations Contract (MSOC).

Position Description

An excellent opportunity to serve as a Software developer on the Communications and Command team at the National Aeronautics and Space Administration (NASA) Johnson Space Center (JSC). The position supports the development and maintenance of Mission Control Center (MCC) software. This includes all data transmitted to and from space vehicles.

Responsibilities

 The candidate will work in a dynamic team environment and will be responsible for software design, implementation, testing, and user support after the release of the software.
 The candidate will work closely with other software developers, the users and provide rotational 24x7 ‘on call’ support to the user community, as well as on-site support for critical space operations when needed.

Work & Experience Requirements

 B.S degree in Computer Science, Computer Engineering, Mathematics or similar field is required. UNIX or Linux skills are required. Object Oriented programming skills required. The candidate must have some software development experience using C++ or Java programming. SQL, .NET, and SharePoint experience are a plus. Must possess good oral and written communication skills and the ability to work effectively in a team setup. Knowledge of software development using agile practices and scrum methodology is a plus. The candidate must be adaptable to learning and applying new skills quickly. Excellent interpersonal skills, strong initiative, teamwork, and problem-solving skills are required.

KBR Benefits

KBR offers a selection of competitive lifestyle benefits which could include 401K plan with company match, medical, dental, vision, life insurance, AD&D, flexible spending account, disability, paid time off, or flexible work schedule. We support career advancement through professional training and development.

Click here to learn more: KBR Benefits | KBR

Inclusion and Diversity at KBR 

At KBR, we are passionate about our people, sustainability, and our Zero Harm culture. These inform all that we do and are at the heart of our commitment to, and ongoing journey toward being a more inclusive and diverse company. That commitment is central to our team of team’s philosophy and fosters an environment of real collaboration across cultures and locations. Our individual differences and perspectives bring enhanced value to our teams and help us develop solutions for the most challenging problems. We understand that by embracing those differences and working together, we are more innovative, more resilient, and safer. We Deliver – Together.

Click here to learn more: Inclusion and Diversity at KBR

At KBR, we are passionate about our people, sustainability, and our Zero Harm culture.

These inform all that we do and are at the heart of our commitment to, and ongoing journey toward being a more inclusive and diverse company. That commitment is central to our team of team’s philosophy and fosters an environment of real collaboration across cultures and locations. Our individual differences and perspectives bring enhanced value to our teams and help us develop solutions for the most challenging problems. We understand that by embracing those differences and working together, we are more innovative, more resilient, and safer.

KBR is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, disability, sex, sexual orientation, gender identity or expression, age, national origin, veteran status, genetic information, union status and/or beliefs, or any other characteristic protected by federal, state, or local law.

R2100167"
Thumbtack,Social Media Support Operations Specialist,"A home is the biggest investment most people make, and yet, it doesn’t come with a manual. That's why we’re building the only app homeowners need to effortlessly manage their homes — knowing what to do, when to do it, and who to hire. With Thumbtack, millions of people care for what matters most, and pros earn billions of dollars through our platform. And as one of the fastest-growing companies in a $600B+ industry — we must be doing something right.

We are driven by a common goal and the deep satisfaction that comes from knowing our work supports local economies, helps small businesses grow, and brings homeowners peace of mind. We’re seeking people who continually put our purpose first: advocating for pros and customers, embracing change, and choosing teamwork every day.

At Thumbtack, we're creating a new era of home care. If making an impact and the chance to do good inspires you, join us. Imagine what we’ll build together.

Thumbtack by the Numbers

Available nationwide in every U.S. county
Over 85 million projects started on Thumbtack
More than 11 million 5-star reviews and counting
Pros earn billions on our platform
1000+ employees 
$3.2 billion valuation (June, 2021) 

About The Social Media Support Team

Our Social Media Team supports customers and pros on all Social Media platforms while simultaneously protecting the Thumbtack brand. This team is part of the Trust and Safety org and efficiently collaborates on escalated reports from customers or pros to ensure a safe and high-quality experience. We work closely with our Brand and Marketing teams to ensure that our public support personality showcases the Thumbtack brand and content vision.

About The Role

As a Social Media Specialist, you will represent the Thumbtack brand publicly through social media channels as a partner to our users. You aim to answer their questions and ensure they feel heard via our public channels. As a brand ambassador, you’ll be a part of a tight-knit team monitoring and responding to comments, questions, or concerns. You’ll work collaboratively with multiple teams across Thumbtack.

Your Responsibilities

Brand Reputation Management: Respond efficiently to comments and complaints via social media platforms, including: Facebook, X, Instagram, Glassdoor, app store reviews, BBB, Linkedin, and additional review websites.
Support Mindset: Identify issues, trends, and common problems facing our users; while maintaining knowledge of the Thumbtack platform to assist customers in resolving their concerns. Triage escalated concerns and collaborate on sensitive issues.
High Levels of Initiative and Accountability: Showcase flexibility to take on a wide range of projects with ownership.
Collaboration: Build and maintain interdepartmental relationships.

What you’ll need

If you don't think you meet all of the criteria below but still are interested in the job, please apply. Nobody checks every box, and we're looking for someone excited to join the team.

Relevant Experience: Experience in Social Media and/OR Customer Support Required. Trust and Safety experience is an additional bonus. High school diploma or equivalent required.
Communication Skills: Advanced proficiency in spoken and written English and bonus points if you are fluent in Spanish. Proven competence in engaging diverse audiences, including customers, internal teams, and cross-functional partners.
Problem-Solving and Adaptability: Exceptional problem-solving and strategic thinking skills, with the ability to work independently and adapt to shifting priorities.
Collaboration and Resilience: Strong collaboration skills, self-motivated, resilient, and adaptable. Strong sense of urgency and ownership.

Bonus points if you have

Previous Social Media Support or Trust and Safety Experience.
Experience handling escalated situations/customer service issues.
Experience using Social Media Management platforms.
Experience working for a company offering services through an online Marketplace.

Thumbtack is a virtual-first company, meaning you can live and work from any one of our approved locations across the United States, Canada or the Philippines. Learn more about our virtual-first working model here .

For candidates living in San Francisco / Bay Area, San Jose, New York City, or Seattle metros, the expected salary range for the role is currently $68,000 - $83,100.

For candidates living in Austin, TX or Washington DC metros or in California, Massachusetts, New Jersey, or Washington states, the expected salary range for the role is currently $61,200 - $74,800.

For candidates living in all other US locations, the expected salary range for this role is currently $57,800 - $70 ,600. Actual offered salaries will vary and will be based on various factors, such as calibrated job level, qualifications, skills, competencies, and proficiency for the role.

Benefits & Perks

Virtual-first working model coupled with in-person events
20 company-wide holidays including a week-long end-of-year company shutdown
Library (optional use collaboration & connection hub) in San Francisco 
 WiFi reimbursements 
 Cell phone reimbursements (North America) 
 Employee Assistance Program for mental health and well-being 

Learn More About Us

 Life @ Thumbtack Blog 
 Virtual-First is Here to Stay 
 Follow us on LinkedIn 
 Meet Our Pro Advisory Board 

Thumbtack embraces diversity. We are proud to be an equal opportunity workplace and do not discriminate on the basis of sex, race, color, age, pregnancy, sexual orientation, gender identity or expression, religion, national origin, ancestry, citizenship, marital status, military or veteran status, genetic information, disability status, or any other characteristic protected by federal, provincial, state, or local law. We also will consider for employment qualified applicants with arrest and conviction records, consistent with applicable law.

Thumbtack is committed to working with and providing reasonable accommodation to individuals with disabilities. If you would like to request a reasonable accommodation for a medical condition or disability during any part of the application process, please contact: recruitingops@thumbtack.com .

If you are a California resident, please review information regarding your rights under California privacy laws contained in Thumbtack’s Privacy policy available at https://www.thumbtack.com/privacy/ ."
思科,Hardware Engineer I (Full Time) United States,"Applications are accepted until further notice.

Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens.

Who You'll Work With

Engineering:

Open-minded, driven, diverse and deeply creative people at Cisco design the hardware that makes the internet work. Bring your knowledge of computers and networking and take it to a new level in any one of the following product categories including: cloud, social, mobile/wireless, video, VoIP, big data, collaboration, web, Internet of Things, routing, switching, IPv6, data center, HPC, Telepresence and many more. Your work will affect billions globally.

Supply Chain Operations:

Collaborate with peers on projects that have a real-world impact. From our processes to manufacturing, you'll deliver a standout customer experience of Cisco products and services. Take your innovative ideas from the drawing board to deliver powerful solutions. You'll collaborate with multi-functional teams to determine our infrastructural needs and product specifications.

What You’ll Do

You will impact the product development from the lowest levels of circuit design to large system design and see your contribution all the way through to high volume manufacturing. Creative Hardware Engineering positions available in:

 ASIC Design and Verification 
 System/Board Design 
 Circuit Board Layout 
 Hardware Automation, Validation and Test 
 Signal Integrity 
 Power Design 

Who You Are

 Ability to manage multiple tasks and work toward long-term goals, indicating strong organizational skills and the ability to prioritize effectively. 
 Excellent verbal and written communication skills to manage relationships with extended team and business functions. 
 Experience in establishing and sustaining positive relationships with an extended team 

Minimum Qualifications

 Including but not limited to a graduate/upcoming graduate of a technical degree or certification program from a Technical Boot Camp, Apprenticeship, Community College or 4-year University. 
 Open to 0-3 years of relevant experience or recent graduate or those in the final year of a Bachelor's in Electrical Engineering , Computer Engineering, Mechanical Engineering, a related program, or holders of equivalent academic certifications. 
 Solid understanding in hardware engineering areas such as ASIC Design and Verification, System/Board Design, Circuit Board Layout, Hardware Automation, Validation and Test, Signal Integrity, and Power Design. 
 Proven understanding of engineering fundamentals and technical analytical skills 
 Able to legally live and work in the country for which you’re applying, without visa support or sponsorship 

Why Cisco

#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (40 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!"
Apex Focus Group,Data Entry Clerk Work From Home - Part Time Focus Group Panelists (Up To $750/Week),"Now accepting applicants for Focus Group studies. Earn up to $750 per week part-time working from home. Must register to see if you qualify. No Data Entry experience needed.

Data Entry Clerk Work From Home - Part Time Remote Focus Group Panelists

Our company is seeking individuals to participate in National & Local Paid Focus Groups, Clinical Trials, and Market Research assignments.

With most of our paid focus group studies, you have the option to participate remotely online or in-person. This is a great way to earn additional income from the comfort of your home.

Compensation

$75-$150 (per 1 hour session)
$300-$750 (multi-session studies)

Job Requirements

Show up at least 10 mins before discussion start time.
Participate by completing written and oral instructions.
Complete written survey provided for each panel.
MUST actually use products and/or services, if provided. Then be ready to discuss PRIOR to meeting date.

Qualifications

Must have either a smartphone with working camera or desktop/laptop with webcam
Must have access to high speed internet connection
Desire to fully participate in one or several of the above topics
Ability to read, understand, and follow oral and written instructions.
Data entry clerk experience is not necessary.

Job Benefits

Flexibility to take part in discussions online or in-person.
No commute needed should you choose to work from home remotely.
No minimum hours. You can do this part-time or full-time
Enjoy free samples from our sponsors and partners in exchange for your honest feedback of their products.
You get to review and use new products or services before they are released to the public.

You must apply on our website and complete a set of questionnaire to see if you qualify.

This position is perfect for anyone looking for temporary, part-time or full-time work. The hours are flexible and no previous experience is required. If you are a data entry clerk or someone just looking for a flexible part time remote work from home job, this is a great way to supplement your income."
AO Globe Life,Virtual Work from Home Position,"Our company has moved to 100% virtual, work-from-home positions. This position allows you to earn an incredible living without sacrificing your family life. You’ll have the flexibility to choose your working hours when it’s convenient for YOU and your family.

We’re looking for enthusiastic individuals to assist existing and prospective clients within our organization. This position will work with multiple clients through-out the day providing outstanding service and product knowledge.

Preferred Skills: 

 Excellent communication skills, including active listening and problem-solving
 Ability to learn, adapt, and adjust on the go


Works well with others and individually

 Possesses a strong work ethic and drive to succeed What you can expect:
 Flexible Schedule with Weekly Pay
 100% Remote Position
 Weekly Trainings lead by Top Leaders
 Life Insurance
 Health Insurance reimbursement
 Industry-leading resources and technology
In the interest of community wellness, AO has adjusted our business operations. As such, all interviews will be conducted via Zoom video conferencing"
